Questions,Responses
What are the benefits of the Medi Plus Health Insurance plan? ,"The benefits of the Medi Plus Health Insurance plan include hospitalization benefits in both private and government hospitals, coverage for specific treatments such as cataract, hernia, hysterectomy, cardiac surgeries, cancer treatments, etc., and epidemic and pandemic cover for hospitalization charges in government hospitals and approved private hospitals or intermediary care centers."
How does the Medi Plus Health Insurance plan provide coverage for hospitalization? ,"The Medi Plus Health Insurance plan provides coverage for hospitalization in both private and government hospitals. In private hospitals, the coverage includes room charges, medical practitioner fees, theatre charges, ambulance charges, and maternity benefits. In government hospitals, the coverage includes daily allowance, cost of drugs and tests from outside, and allowance for childbirth."
What additional benefits are included in the Medi Plus Health Insurance plan? ,"The additional benefits included in the Medi Plus Health Insurance plan are treatments for cataract, hernia, hysterectomy, all types of cardiac surgeries, cancer treatments, and more."
How does the Medi Plus Health Insurance plan cover epidemic and pandemic situations? ,"The Medi Plus Health Insurance plan provides coverage for epidemic and pandemic situations, specifically for Covid-19. It includes hospital daily allowance for government hospitals and hospitalization charges for private hospitals or intermediary care centers approved by the health ministry. This coverage ensures that policyholders have financial protection for medical expenses related to epidemic and pandemic situations."
Who is eligible to apply for the Medi Plus Health Insurance policy? ,Adults between the ages of 18 to 60 years are eligible to apply for the Medi Plus Health Insurance policy.
What are the age limits for coverage? ,"The age limits for coverage vary depending on the insurance policy. For the Comprehensive Health Plus policy, adults between the ages of 18 to 60 years can obtain coverage, with the cover ceasing at the age of 70. Children can be included in the cover up to the age of 18, with the option to extend coverage up to the age of 23. For the Hospital Cash Plan, adults between the ages of 18 to 60 years can obtain coverage, with the cover ceasing at the age of 70. Children need to be under the age of 3 months to 20 years, and they will be covered until the age of 25 years. For the Surgical Plan, adults between the ages of 18 to 60 years can obtain coverage, with the cover ceasing at the age of 70. Children need to be under the age of 3 months to 20 years, and they will be covered until the age of 25 years."
What does the SLIC Surgical Plan offer in terms of financial coverage for surgeries? ,"The SLIC Surgical Plan offers financial coverage for surgeries up to a pre-specified maximum limit. The coverage amount can be a maximum of LKR 1,000,000, depending on the type of surgery and selected benefits. Additionally, the plan covers more than 360 listed surgeries and many non-listed surgeries performed under medical necessity."
"Who is eligible to apply for the Surgical Plan, and what are the age limits? ",Adults between the ages of 18 to 60 years are eligible to apply for the Surgical Plan. Children must be under the age of 20 years to be covered under the plan.
Can you explain the coverage details provided by the SLIC Surgical Plan. ,"The SLIC Surgical Plan provides coverage for surgery costs up to a pre-specified maximum limit. The maximum coverage amount is LKR 1,000,000. The coverage applies to surgeries performed under medical necessity and includes more than 360 listed surgeries as well as many non-listed surgeries. The policy allows policyholders to claim a percentage of the SLIC Surgical Plan sum assured, ranging from 10% to 100%, depending on the type of surgery."
What is the claiming process of the Surgical Plan? ,"The claiming process of the Surgical Plan involves several steps. First, the policyholder needs to notify the insurance company as soon as possible in the event of a surgery covered under the plan. This can be done by contacting the customer service hotline or visiting the nearest branch. Then, the policyholder needs to submit the required documents to the insurance company, including medical reports, surgical bills, and any other relevant documents specified by the company. The insurance company will assess the claim based on the provided documents and the terms of the policy. If the claim is approved, the insurance company will process the payment according to the coverage details outlined in the policy."
In which countries is the SLIC Surgical Plan valid for surgeries? ,"The SLIC Surgical Plan is valid for surgeries in Singapore, India, Malaysia, and Sri Lanka."
What documents are required to apply for Surgical Plan? ,"The documents required to apply for the Surgical Plan include identification proof (copy of national identification card or passport), medical reports related to your health and any pre-existing conditions, surgical bills (invoices and bills related to the surgery), and any other relevant documents requested by SLIC for the claim or application process."
What does the SLIC Comprehensive Health Plus plan cover? ,"The SLIC Comprehensive Health Plus plan covers surgical, medical, and hospitalization expenses both in Sri Lanka and overseas. It provides financial support for the policyholder, their spouse, and up to 5 dependent children. The plan must be obtained together with mandatory SLIC life insurance. The geographical coverage options include Sri Lanka only, Sri Lanka, India, Singapore, Thailand, and Malaysia, or worldwide excluding USA and Canada. The policy period ranges from 5 to 40 years, with different sum assured amounts depending on the chosen category."
"Can you explain the eligibility criteria for obtaining the SLIC Comprehensive Health Plus policy, including age limits?","The eligibility criteria for obtaining the SLIC Comprehensive Health Plus policy include being an adult between the ages of 18 to 60 years. The policy cover ceases at the age of 70. Additionally, it is mandatory to have a SLIC life insurance policy in order to obtain the Comprehensive Health Plus policy."
What are the benefits of applying to a Comprehensive Health plus plan? ,"The benefits of applying to a Comprehensive Health Plus plan include a flexible policy period ranging from 5 to 40 years, a variety of policy covers with different coverage amounts, a highly flexible range of premium payment options, the option to include children in the cover up to the age of 18 (with the option to extend up to 23), comprehensive hospitalization benefits both within and outside Sri Lanka, a No Claim Bonus that increases the sum assured for every claim-free year, the ability to expand the plan with additional covers such as Retirement Plans and Children's Investment Plans, and the availability of a cashless card method for this cover."
What are the available packages and cover amounts for each package? ,"The available packages and their corresponding cover amounts are as follows:
- Option 01: Rs. 1 million
- Option 02: Rs. 2 million
- Option 03: Rs. 3 million
- Option 04: Rs. 4 million
- Option 05: Rs. 5 million"
What hospitalization benefits are included in the Comprehensive Health Plus plan? ,"The hospitalization benefits included in the Comprehensive Health Plus plan are room charges, medical practitioner fees, theatre charges, ambulance charges, maternity benefits, etc. These benefits cover both within and outside Sri Lanka."
What is the claim process for the Comprehensive Health Plus plan? ,"Once the claim for the Comprehensive Health Plus plan is verified and approved, the payment will be processed by SLIC. The payment can be made directly to the insured or to the healthcare provider, depending on the nature of the claim."
